"Name","Place Type","Place Tags","Keg Count","Address","City","State","Postcode","Country","Place Radius (m)"
"Hotel Tuscany Inn","Venue",,"0",,,,,,"50"
"Hotel San Marco","Venue",,"0",,,,,,"50"
"Hotel La Tavernetta","Venue",,"0",,,,,,"50"
"Hotel Mignon","Venue",,"0",,,,,,"50"
"Hotel VILLA MARELEA","Venue",,"0",,,,,,"50"
"Hotel Posta","Venue",,"0",,,,,,"50"
"Hotel Miramare e Castello","Venue",,"0",,,,,,"50"
"Hotel Roma Imperiale","Venue",,"0",,,,,,"50"
"Hotel Villa Imperiale","Venue",,"0",,,,,,"50"
"Grand Hotel Mediterraneo","Venue",,"0",,,,,,"50"
"Hotel Aquaviva & SPA","Venue",,"0",,,,,,"50"
"Hotel Continentale","Venue",,"0",,,,,,"50"
"Hotel Cinque Giornate","Venue",,"0",,,,,,"50"
"Hotel Podere Le Vigne","Venue",,"0",,,,,,"50"
"Hotel Duca d'Alba","Venue",,"0",,,,,,"50"
"Hotel L'Abbate","Venue",,"0",,,,,,"50"
"Hotel Talice Radicati","Venue",,"0",,,,,,"50"
"Hotel Mediterraneo","Venue",,"0",,,,,,"50"
"Hotel Casa Mancia Relais du Silence","Venue",,"0",,,,,,"50"
"Hotel La Tana","Venue",,"0",,,,,,"50"
"Hotel Cristallo","Venue",,"0",,,,,,"50"
"Hotel Rudy","Venue",,"0",,,,,,"50"
"Hotel Leonardo","Venue",,"0",,,,,,"50"
"Jolly Hotel Machiavelli","Venue",,"0",,,,,,"50"
"Hotel Carmencita","Venue",,"0",,,,,,"50"
"Scheppers Hotel","Venue",,"0",,,,,,"50"
"Hotel Villa Fontana","Venue",,"0",,,,,,"50"
"Grand Hotel Trento  A Boscolo First Class Hotel","Venue",,"0",,,,,,"50"
"Hotel Poggio","Venue",,"0",,,,,,"50"
"Hotel La Floridiana","Venue",,"0",,,,,,"50"
"Hotel Le Petit","Venue",,"0",,,,,,"50"
"Jolly Hotel Trieste","Venue",,"0",,,,,,"50"
"Hotel Seiler","Venue",,"0",,,,,,"50"
"Hotel Nautico","Venue",,"0",,,,,,"50"
"Hotel Parco Del Lago","Venue",,"0",,,,,,"50"
"Hotel degli Orafi","Venue",,"0",,,,,,"50"
"Hotel Villa Lalla","Venue",,"0",,,,,,"50"
"Hotel Posta","Venue",,"0",,,,,,"50"
"Hotel Convento Santa Chiara","Venue",,"0",,,,,,"50"
"Hotel Relais Monaco & Country Club","Venue",,"0",,,,,,"50"
"Hotel Medea","Venue",,"0",,,,,,"50"
"Hotel S  Ilario","Venue",,"0",,,,,,"50"
"Hotel ALEXANDER","Venue",,"0",,,,,,"50"
"Hotel Al Sole","Venue",,"0",,,,,,"50"
"Hotel Euro House","Venue",,"0",,,,,,"50"
"Hotel Vittorio Emanuele","Venue",,"0",,,,,,"50"
"Hotel  ABC","Venue",,"0",,,,,,"50"
"Hotel Tre Re","Venue",,"0",,,,,,"50"
"Hotel Michelangelo","Venue",,"0",,,,,,"50"
"Sheraton Bologna Hotel & Conference Center","Venue",,"0",,,,,,"50"
"Hotel Valdor","Venue",,"0",,,,,,"50"
"Park Hotel","Venue",,"0",,,,,,"50"
"Hotel Orly","Venue",,"0",,,,,,"50"
"Hotel Daniel's","Venue",,"0",,,,,,"50"
"Massimo Plaza Hotel","Venue",,"0",,,,,,"50"
"Hotel Mozart","Venue",,"0",,,,,,"50"
"Hotel Italia","Venue",,"0",,,,,,"50"
"Hotel kriss","Venue",,"0",,,,,,"50"
"Hotel Rex","Venue",,"0",,,,,,"50"
"Hotel Helios","Venue",,"0",,,,,,"50"
"Hotel Ristorante Valkarana","Venue",,"0",,,,,,"50"
"Hotel Villa Zuccari","Venue",,"0",,,,,,"50"
"Park Hotel Ca' Noa","Venue",,"0",,,,,,"50"
"Hotel Bologna","Venue",,"0",,,,,,"50"
"Hotel Tiffany milano","Venue",,"0",,,,,,"50"
"Le Grand Hotel Courmaison","Venue",,"0",,,,,,"50"
"Hotel Bella Venezia","Venue",,"0",,,,,,"50"
"Hotel Goldoni","Venue",,"0",,,,,,"50"
"Hotel Bougainville","Venue",,"0",,,,,,"50"
"Hotel Laurence","Venue",,"0",,,,,,"50"
"Hotel Oasi dei Discepoli","Venue",,"0",,,,,,"50"
"Hotel Novecento","Venue",,"0",,,,,,"50"
"Jolly Hotel Villa Carpegna","Venue",,"0",,,,,,"50"
"Hotel Al Sole","Venue",,"0",,,,,,"50"
"Hotel Derby","Venue",,"0",,,,,,"50"
"Hotel San Salvador","Venue",,"0",,,,,,"50"
"Hotel Marco Polo","Venue",,"0",,,,,,"50"
"Hotel Aurora","Venue",,"0",,,,,,"50"
"Hotel Villa Florence","Venue",,"0",,,,,,"50"
"Soglia Hotel Gran Baita","Venue",,"0",,,,,,"50"
"Grand Hotel Dino - Zacchera Hotels","Venue",,"0",,,,,,"50"
"Hotel Royal","Venue",,"0",,,,,,"50"
"Hotel Grazia Terme","Venue",,"0",,,,,,"50"
"Hotel Ausonia","Venue",,"0",,,,,,"50"
"Hotel Talos","Venue",,"0",,,,,,"50"
"Hotel Greif","Venue",,"0",,,,,,"50"
"Hotel Baia dei Mulini","Venue",,"0",,,,,,"50"
"Hotel Eden","Venue",,"0",,,,,,"50"
"Hotel i Cedri","Venue",,"0",,,,,,"50"
"Hotel Panorama","Venue",,"0",,,,,,"50"
"Hotel Regina","Venue",,"0",,,,,,"50"
"Hotel Touring","Venue",,"0",,,,,,"50"
"Hotel San Clemente","Venue",,"0",,,,,,"50"
"Hotel Hermitage","Venue",,"0",,,,,,"50"
"Hotel Bamby","Venue",,"0",,,,,,"50"
"Hotel Rinascimento","Venue",,"0",,,,,,"50"
"Hotel Villa Bianca","Venue",,"0",,,,,,"50"
"Hotel Ristorante La Font","Venue",,"0",,,,,,"50"
"Hotel Terme Alexander","Venue",,"0",,,,,,"50"
"Hotel La Gravenna","Venue",,"0",,,,,,"50"
"Hotel Villa Rosa","Venue",,"0",,,,,,"50"
"Bauer Hotel","Venue",,"0",,,,,,"50"
"Hotel Brennero","Venue",,"0",,,,,,"50"
"Hotel Club La Playa","Venue",,"0",,,,,,"50"
"Hotel IL NIDO Sorrento","Venue",,"0",,,,,,"50"
"Hotel Europa","Venue",,"0",,,,,,"50"
"Hotel Madison","Venue",,"0",,,,,,"50"
"Grand Hotel Et Des Palmes","Venue",,"0",,,,,,"50"
"Hotel Larius","Venue",,"0",,,,,,"50"
"Hotel Pare","Venue",,"0",,,,,,"50"
"Hotel Trezzo","Venue",,"0",,,,,,"50"
"Hotel Désirée","Venue",,"0",,,,,,"50"
"Hotel La Meridiana","Venue",,"0",,,,,,"50"
"Hotel San Michele","Venue",,"0",,,,,,"50"
"Hotel Leopardi","Venue",,"0",,,,,,"50"
"Hotel Eden","Venue",,"0",,,,,,"50"
"Hotel Garden Napoli","Venue",,"0",,,,,,"50"
"Jolly Hotel Plaza","Venue",,"0",,,,,,"50"
"Hotel Lido International","Venue",,"0",,,,,,"50"
"Hotel Maxim","Venue",,"0",,,,,,"50"
"Hotel Fortunella","Venue",,"0",,,,,,"50"
"Hotel La Paul","Venue",,"0",,,,,,"50"
"Hotel Baia di Puolo","Venue",,"0",,,,,,"50"
"Hotel Giardino dei Greci","Venue",,"0",,,,,,"50"
"Hotel Green House","Venue",,"0",,,,,,"50"
"Jolly Hotel Villanova","Venue",,"0",,,,,,"50"
"My Hotels Galilei","Venue",,"0",,,,,,"50"
"Hotel La Passeggiata","Venue",,"0",,,,,,"50"
"Hotel   Unicorno","Venue",,"0",,,,,,"50"
"Hotel Villa Capodimonte","Venue",,"0",,,,,,"50"
"Hotel Villa Romana","Venue",,"0",,,,,,"50"
"Hotel L'Antico Convitto","Venue",,"0",,,,,,"50"
"Raganelli Hotel","Venue",,"0",,,,,,"50"
"Hotel Bonconte","Venue",,"0",,,,,,"50"
"Hotel Bernina","Venue",,"0",,,,,,"50"
"Hotel Locanda dello Spuntino","Venue",,"0",,,,,,"50"
"Hotel Giuliana","Venue",,"0",,,,,,"50"
"Hotel All'Orso","Venue",,"0",,,,,,"50"
"Hotel Marea","Venue",,"0",,,,,,"50"
"Hotel Sant Ercolano","Venue",,"0",,,,,,"50"
"Hotel San Domenico","Venue",,"0",,,,,,"50"
"Palace Hotel Relais Falisco","Venue",,"0",,,,,,"50"
"Hotel Daniele","Venue",,"0",,,,,,"50"
"Hotel Cyprianerhof","Venue",,"0",,,,,,"50"
"Hotel del Santuario","Venue",,"0",,,,,,"50"
"My Hotels Executive","Venue",,"0",,,,,,"50"
"Hotel house Le Palme","Venue",,"0",,,,,,"50"
"Hotel Parco dei Faggi","Venue",,"0",,,,,,"50"
"Hotel Riviera dei Dogi","Venue",,"0",,,,,,"50"
"Jolly Hotel Bellini","Venue",,"0",,,,,,"50"
"Caesar Augustus, Relais & Chateaux Hotel","Venue",,"0",,,,,,"50"
"Hotel Loggiato dei Serviti","Venue",,"0",,,,,,"50"
"Jolly Hotel Ambasciatori","Venue",,"0",,,,,,"50"
"Hotel Holiday","Venue",,"0",,,,,,"50"
"Hotel Corona","Venue",,"0",,,,,,"50"
"Midi Hotel","Venue",,"0",,,,,,"50"
"Hotel San Paolo","Venue",,"0",,,,,,"50"
"Hotel Olivi","Venue",,"0",,,,,,"50"
"Hotel Regit","Venue",,"0",,,,,,"50"
"Hotel Sorriso","Venue",,"0",,,,,,"50"
"Ata Hotel Executive","Venue",,"0",,,,,,"50"
"Hotel Alcide","Venue",,"0",,,,,,"50"
"Hotel Carmine","Venue",,"0",,,,,,"50"
"Hotel Nuova Italia","Venue",,"0",,,,,,"50"
"Hotel Centrale","Venue",,"0",,,,,,"50"
"Hotel Marchesini","Venue",,"0",,,,,,"50"
"Hotel Eden, A Royal Meridien Hotel","Venue",,"0",,,,,,"50"
"Hotel Giardinetto","Venue",,"0",,,,,,"50"
"Hotel Bonsai","Venue",,"0",,,,,,"50"
"Traiano Hotel","Venue",,"0",,,,,,"50"
"Hotel Gabbiano Azzurro","Venue",,"0",,,,,,"50"
"Leonardo Da Vinci Hotel","Venue",,"0",,,,,,"50"
"Hotel Imperial Beach","Venue",,"0",,,,,,"50"
"Maresana Resort Restaurant & Hotel","Venue",,"0",,,,,,"50"
"Borromini, A Boscolo First Class Hotel","Venue",,"0",,,,,,"50"
"Hotel Emona Aquaeductus","Venue",,"0",,,,,,"50"
"Hotel Enza","Venue",,"0",,,,,,"50"
"Hotel Auriga","Venue",,"0",,,,,,"50"
"Hotel Charleston","Venue",,"0",,,,,,"50"
"Hotel Meeting","Venue",,"0",,,,,,"50"
"Sangallo Palace Hotel","Venue",,"0",,,,,,"50"
"Centaur Hotel I G I Airport Delhi","Venue",,"0",,,,,,"50"
"Hotel Nicoletta","Venue",,"0",,,,,,"50"
"Hotel Firenze & Continentale","Venue",,"0",,,,,,"50"
"Hotel San Giorgio","Venue",,"0",,,,,,"50"
"Hotel Roma","Venue",,"0",,,,,,"50"
"Hotel Ilaria & Residenza dell'Alba","Venue",,"0",,,,,,"50"
"Hotel Labelle","Venue",,"0",,,,,,"50"
"Hotel Bolzano","Venue",,"0",,,,,,"50"
"Hotel La Loggia","Venue",,"0",,,,,,"50"
"Hotel Lussemburgo","Venue",,"0",,,,,,"50"
"Hotel Delle Nazioni","Venue",,"0",,,,,,"50"
"TOP Hotel Park Bologna","Venue",,"0",,,,,,"50"
"Hotel Trevi","Venue",,"0",,,,,,"50"
"Hotel Maderno","Venue",,"0",,,,,,"50"
"Hotel Continental","Venue",,"0",,,,,,"50"
"Hotel Mercure Torino Royal","Venue",,"0",,,,,,"50"
"Hotel San Giacomo","Venue",,"0",,,,,,"50"
"Hotel Felice","Venue",,"0",,,,,,"50"
"Hotel Due Pavoni","Venue",,"0",,,,,,"50"
"Sweet Hotel","Venue",,"0",,,,,,"50"
"Hotel Ambasciatori","Venue",,"0",,,,,,"50"
"Hotel Embassy","Venue",,"0",,,,,,"50"
"Hotel Terminal","Venue",,"0",,,,,,"50"
"Hotel D Orange D Alcantara","Venue",,"0",,,,,,"50"
"Hotel Select","Venue",,"0",,,,,,"50"
"Hotel Champagne Palace","Venue",,"0",,,,,,"50"
"Hotel della Baia","Venue",,"0",,,,,,"50"
"Hotel Tre vecchi","Venue",,"0",,,,,,"50"
"Hotel Diana Pompei","Venue",,"0",,,,,,"50"
"Hotel Accursio","Venue",,"0",,,,,,"50"
"Hotel PERUGIA","Venue",,"0",,,,,,"50"
"Hotel Baltic","Venue",,"0",,,,,,"50"
"Hotel Nettuno","Venue",,"0",,,,,,"50"
"Hotel Classic Diplomat","Venue",,"0",,,,,,"50"
"The Gateway Hotel Fatehabad Road Agra","Venue",,"0",,,,,,"50"
"Twelve Hotel","Venue",,"0",,,,,,"50"
"Glengarriff Park Hotel","Venue",,"0",,,,,,"50"
"Kenmare Bay Hotel and Resort","Venue",,"0",,,,,,"50"
"Minella Hotel","Venue",,"0",,,,,,"50"
"The Dean Hotel Dublin","Venue",,"0",,"Dublin","County Dublin",,"Ireland","50"
"Rochestown Lodge Hotel and Leisure Club","Venue",,"0","164 Rochestown Avenue","Dublin","County Dublin","A96 T184","Ireland","50"
"Athlone Springs Hotel","Venue",,"0",,,,,,"50"
"Brooklane Hotel","Venue",,"0",,,,,,"50"
"Carlton Kinsale Hotel And Spa","Venue",,"0",,,,,,"50"
"Woodford Dolmen Hotel","Venue",,"0",,,,,,"50"
"Westport Plaza Hotel","Venue",,"0",,,,,,"50"
"Castlerosse Hotel And Golf Resort","Venue",,"0",,,,,,"50"
"Arlington Hotel Oconnell Bridge","Venue",,"0","18 Lord Edward Street",,"County Dublin","D02 TD73","Ireland","50"
"Marine Hotel Sutton","Venue",,"0","13 Sutton Cross","Sutton","County Dublin",,"Ireland","50"
"Knock House Hotel","Venue",,"0",,,,,,"50"
"The Royal Hotel And Merrill Leisure Club","Venue",,"0",,"Bray","County Wicklow",,"Ireland","50"
"Imperial Hotel","Venue",,"0",,,,,,"50"
"Ballyroe Heights Hotel","Venue",,"0",,,,,,"50"
"Maritime Hotel And Suites","Venue",,"0",,,,,,"50"
"Osprey Hotel And Spa","Venue",,"0",,,,,,"50"
"Talbot Hotel Carlow","Venue",,"0",,,,,,"50"
"Millrace Hotel Leisure Club And Spa","Venue",,"0",,,"County Carlow",,"Ireland","50"
"Radisson Blu Hotel And Spa Galway","Venue",,"0",,,,,,"50"
"South Court Business and Leisure Hotel","Venue",,"0",,,,,,"50"
"Hotel The Ambassador","Venue",,"0",,,,,,"50"
"The Shelbourne Dublin A Renaissance Hotel","Venue",,"0","31 Saint Stephen's Green","Dublin","County Dublin","D02 K224","Ireland","50"
"Hotel O Callaghan Stephen S Green","Venue",,"0",,,,,,"50"
"The Ambassador Hotel In Cork City","Venue",,"0",,,,,,"50"
"Castle Dargan Golf Hotel and Wellness Resort","Venue",,"0",,,,,,"50"
"Club House Hotel Kilkenny","Venue",,"0","4 Ormonde Street","Kilkenny","County Kilkenny","R95 P978","Ireland","50"
"Hotel Patrick Punch","Venue",,"0",,,,,,"50"
"Ruth Rimonim Hotel","Venue",,"0",,,,,,"50"
"Caesar Premier Hotel Dead Sea","Venue",,"0",,,,,,"50"
"Scots Hotel","Venue",,"0",,,,,,"50"
"Tsell Harim Hotel","Venue",,"0",,,,,,"50"
"Club Hotel Tiberias","Venue",,"0",,,,,,"50"
"Isrotel Ambassador Hotel","Venue",,"0",,,,,,"50"
"Metropolitan Hotel","Venue",,"0",,,,,,"50"
"Magic Palace Hotel","Venue",,"0",,,,,,"50"
"Maale Hachamisha Hotel","Venue",,"0",,,,,,"50"
"Sheraton Herods Palace Hotel","Venue",,"0",,,,,,"50"
"Top Hotel","Venue",,"0",,,,,,"50"
"City Hotel","Venue",,"0",,,,,,"50"
"Grand Beach Hotel","Venue",,"0",,,,,,"50"
"Jackson Hotel Ballybofey","Venue",,"0",,,,,,"50"
"Prima Tel Aviv Hotel","Venue",,"0",,,,,,"50"
"Hotel Temple Bar Inn","Venue",,"0","39 Fleet Street",,"County Dublin","D02 EK07","Ireland","50"
"Hotel Quality Killarney","Venue",,"0",,,,,,"50"
"Hotel The Ross","Venue",,"0",,,,,,"50"
"Muckross Park Hotel and Spa","Venue",,"0",,,,,,"50"
"Hotel Smerwick Harbour","Venue",,"0",,,,,,"50"
"Hotel Menlo Park and Conference Centre","Venue",,"0",,,,,,"50"
"No 1 Pery Square Hotel and Spa","Venue",,"0",,,,,,"50"
"Hotel Lahinch Golf and Leisure Centre","Venue",,"0",,,,,,"50"
"Staunton S On The Green Hotel","Venue",,"0",,,,,,"50"
"Clifden House Hotel Dublin","Venue",,"0",,,,,,"50"
"Quality Hotel and Suites Naas Road","Venue",,"0","Naas Road","Dublin","County Dublin",,"Ireland","50"
"Ashley Hotel Cork City Centre","Venue",,"0",,,,,,"50"
"Heights Hotel Killarney","Venue",,"0",,,,,,"50"
"Dan Gardens Ashkelon Hotel","Venue",,"0",,,,,,"50"
"Roxford Lodge Hotel","Venue",,"0","46 Northumberland Road",,"County Dublin","D04 V303","Ireland","50"
"Eldons Hotel And Restaurant","Venue",,"0",,,,,,"50"
"The Heritage Hotel Conference & Leisure Centre","Venue",,"0",,,,,,"50"
"Athenaeum House Hotel","Venue",,"0",,,,,,"50"
"Hotel Hibernian & Leisure Centre Mallow","Venue",,"0",,,,,,"50"
"Fitzgerald Vienna Woods Hotel","Venue",,"0",,,,,,"50"
"Smerwick Harbour Hotel","Venue",,"0",,,,,,"50"
"Leens Hotel","Venue",,"0",,,,,,"50"
"Hotel Ballyroe Heights Tralee","Venue",,"0",,,,,,"50"
"International Hotel Killarney","Venue",,"0",,,,,,"50"
"St. Helen's Hotel","Venue",,"0",,,,,,"50"
"Devon Inn Hotel","Venue",,"0",,,,,,"50"
"Queens Hotel & Nightclub","Venue",,"0",,,,,,"50"
"Hylands Burren Hotel","Venue",,"0",,,,,,"50"
"Galway Great Southern Hotel","Venue",,"0",,,,,,"50"
"Radisson Blu Hotel & Spa Galway","Venue",,"0",,,,,,"50"
"Lough Rea Hotel & Spa","Venue",,"0",,,,,,"50"
"Carlton Altantic Coast Hotel","Venue",,"0",,,,,,"50"
"Park Kiltimagh Hotel","Venue",,"0",,,,,,"50"
"O'gara's Royal Hotel","Venue",,"0",,,,,,"50"
"Sligo Park & Leisure Centre Hotel","Venue",,"0",,,,,,"50"
"Hotel The Glass House","Venue",,"0",,,,,,"50"
"Commercial & Tourist Hotel","Venue",,"0",,,,,,"50"
"Castle Hotel & Lesure Center","Venue",,"0",,,,,,"50"
"Fleet Street Hotel","Venue",,"0","19 - 20 Fleet Street","Dublin","County Dublin",,"Ireland","50"
"Meadowlands Hotel Tralee","Venue",,"0",,,,,,"50"
"Courtyard Hotel Leixlip","Venue",,"0","35 Main Street","Leixlip","County Kildare","W23 RW18","Ireland","50"
"Radisson Blu Hotel Andamp & SPA - Limerick","Venue",,"0",,,,,,"50"
"Killeshin Hotel Portlaoise","Venue",,"0",,,,,,"50"
"Headford Arms Hotel","Venue",,"0","Ashgrove Farrell Street","Kells","County Meath",,"Ireland","50"
"Seven Oaks Hotel","Venue",,"0","34 Huntingdon Court","Carlow","County Carlow","R93 WK28","Ireland","50"
"Finnstown Country House Hotel Dublin","Venue",,"0","4 Finnstown Fairways","Lucan","County Dublin","K78 PW92","Ireland","50"
"Radisson Blu St Helen's Hotel Dublin","Venue",,"0","13 McCabe Villas","Blackrock","County Dublin","A94 XW29","Ireland","50"
"Millrace Hotel Leisure Club & Spa","Venue",,"0",,,,,,"50"
"Ambassador Hotel And Health Club","Venue",,"0",,,,,,"50"
"Pillo Hotel & Spa Galway","Venue",,"0",,,,,,"50"
"The Royal Hotel & Merrill Leisure Club","Venue",,"0","115 Main Street","Bray","County Wicklow","A98 Y8C3","Ireland","50"
"Station House Hotel Letterkenny Ex Ramada","Venue",,"0",,,,,,"50"
"Arlington Hotel O Connell Bridge","Venue",,"0",,,,,,"50"
"Crowne Plaza Hotel Dublin-Northwood","Venue",,"0","Northwood Avenue","Dublin","County Dublin",,"Ireland","50"
"Best Western Montenotte Hotel","Venue",,"0",,,,,,"50"
"Brandon Hotel Conference & Leisure Centre","Venue",,"0",,,,,,"50"
"Kilcoran Lodges At The Kilcoran Lodge Hotel","Venue",,"0",,,,,,"50"
"Glenroyal Hotel & Leisure Club","Venue",,"0",,,,,,"50"
"Hotel Twin Trees","Venue",,"0",,,,,,"50"
"Sligo Park Hotel And Leisure Club","Venue",,"0",,,,,,"50"
"Waterford Castle Hotel","Venue",,"0",,,,,,"50"
"Gresham Metropole Hotel And Leisure Centre Cork","Venue",,"0",,,,,,"50"
"Beresford Hotel Ifsc","Venue",,"0",,,,,,"50"
"St Helens Hotel Rosslare","Venue",,"0",,,,,,"50"
"Kincora Hall Hotel","Venue",,"0",,,,,,"50"
"Fort Royal Hotel","Venue",,"0",,,,,,"50"
"Ripley Court Hotel","Venue",,"0",,,,,,"50"
"Kilkea Castle Hotel","Venue",,"0","Riverside Hamilton Road","Castledermot","County Kildare",,"Ireland","50"
"Mount Falcon Country Hotel","Venue",,"0",,,,,,"50"
"Abbey Hotel Conference & Leisure","Venue",,"0",,,,,,"50"
"White`S Hotel","Venue",,"0",,,,,,"50"
"Travelodge Dublin Phoenix Park Hotel","Venue",,"0","Navan Road","Dublin","County Dublin",,"Ireland","50"
"Mceniff Grand Canal Hotel","Venue",,"0",,,,,,"50"
"My Place Hotel Dublin (Formerly Browns)","Venue",,"0","17 Gardiner Street Lower",,"County Dublin",,"Ireland","50"
"North Star Hotel And Premier Club Suites","Venue",,"0","4 Amiens Street",,"County Dublin",,"Ireland","50"
"Towers Hotel","Venue",,"0",,,,,,"50"
"Four Seasons Hotel Louth","Venue",,"0",,,,,,"50"
"Kfar Blum Kibbutz Hotel","Venue",,"0",,,,,,"50"
"Dan Eilat Hotel","Venue",,"0",,,,,,"50"
"Hotel The Ummeid Jodhpur","Venue",,"0",,,,,,"50"
"Hotel Madonna","Venue",,"0",,,,,,"50"
"Hotel Mahendra Prakash","Venue",,"0",,,,,,"50"
"Hotel Vishal Residency","Venue",,"0",,,,,,"50"
"Hotel Tara Palace","Venue",,"0",,,,,,"50"
"Hotel Chand Palace","Venue",,"0",,,,,,"50"
"Hotel Sri Nanak Continental","Venue",,"0",,,,,,"50"
"Hotel Rajputana Palace","Venue",,"0",,,,,,"50"
"Hotel Welcome Palace","Venue",,"0",,,,,,"50"
"Hotel Ajanta","Venue",,"0",,,,,,"50"
"Hotel Holy Night","Venue",,"0",,,,,,"50"
"Anjani Hotel","Venue",,"0",,,,,,"50"
"Hotel Mohan International","Venue",,"0",,,,,,"50"
"Hotel Samrat","Venue",,"0",,,,,,"50"
"Hotel Maurya Heritage","Venue",,"0",,,,,,"50"
"Hotel Aroma Palace","Venue",,"0",,,,,,"50"
"Orchid - An Ecotel Hotel","Venue",,"0",,,,,,"50"
"The Park Hotel - Calcutta","Venue",,"0",,,,,,"50"
"Hotel Marine Plaza","Venue",,"0",,,,,,"50"
"Taj Mahal Hotel","Venue",,"0",,,,,,"50"
"St Marks Hotel","Venue",,"0",,,,,,"50"
"Palace Hotel and Casino","Venue",,"0","3 Mountain View","Douglas","Douglas","IM2 7BT","Isle of Man","50"
"Hilton Isle of Man Hotel","Venue",,"0",,,,,,"50"
"Sea Hotel Eilat","Venue",,"0",,,,,,"50"
"Prima City Hotel","Venue",,"0",,,,,,"50"
"St George Landmark Hotel","Venue",,"0",,,,,,"50"
"Shoresh Green Hills Country Lodging Kibbutz Hotel","Venue",,"0",,,,,,"50"
"Radisson Hotel Noida","Venue",,"0",,,,,,"50"
"Hotel Ramanashree Mysore","Venue",,"0",,,,,,"50"
"The Lemon Tree Hotel, City Center","Venue",,"0",,,,,,"50"
"Residency Hotel - Fort - Mumbai","Venue",,"0",,,,,,"50"
"Hotel Snowcrest Manor","Venue",,"0",,,,,,"50"
"Hotel Bawa Continental","Venue",,"0",,,,,,"50"
"Ramee Guestline Hotel  Bangalore","Venue",,"0",,,,,,"50"
"Hotel Bawa International  Khar","Venue",,"0",,,,,,"50"
"Hotel Minerva Grand","Venue",,"0",,,,,,"50"
"Hotel Clarks Shiraz Agra","Venue",,"0",,,,,,"50"
"Hotel Red Rose","Venue",,"0",,,,,,"50"
"Quality Hotel Regency","Venue",,"0",,,,,,"50"
"Hotel Southern Star","Venue",,"0",,,,,,"50"
"Seasons Apartment Hotel  Aundh","Venue",,"0",,,,,,"50"
"Hotel The Elite","Venue",,"0",,,,,,"50"
"Hotel Bandra Residency","Venue",,"0",,,,,,"50"
"Mughal Sheraton Hotel","Venue",,"0",,,,,,"50"
"Golden Crown Nazareth Hotel","Venue",,"0",,,,,,"50"
"Hotel Singhs International","Venue",,"0",,,,,,"50"
"Best Western The Pride Hotel","Venue",,"0",,,,,,"50"
"Savoy Hotel","Venue",,"0",,,,,,"50"
"Hotel Clarks Amer Jaipur","Venue",,"0",,,,,,"50"
"Hotel Great Value","Venue",,"0",,,,,,"50"
"Hotel Aodhi","Venue",,"0",,,,,,"50"
"Bangalore International Hotel","Venue",,"0",,,,,,"50"
"Hotel Chaupal Gurgaon","Venue",,"0",,,,,,"50"
"The Residence Hotel & Convention Centre","Venue",,"0",,,,,,"50"
"Rodas Hotel","Venue",,"0",,,,,,"50"
"The Maya Hotel","Venue",,"0",,,,,,"50"
"New Haven Hotel","Venue",,"0",,,,,,"50"
"Bakers Hotel Kovalam","Venue",,"0",,,,,,"50"
"Residency Hotel - Andheri","Venue",,"0",,,,,,"50"
"Hotel Sarovar","Venue",,"0",,,,,,"50"
"Ein Gedi Resort Hotel","Venue",,"0",,,,,,"50"
"Mount Of Olives Hotel","Venue",,"0",,,,,,"50"
"C Hotel Neve Ilan","Venue",,"0",,,,,,"50"
"Arthur Hotel An Atlas Boutique Hotel","Venue",,"0",,,,,,"50"
"La Playa Eilat Hotel","Venue",,"0",,,,,,"50"
"Astral Marina Hotel","Venue",,"0",,,,,,"50"
"Eldan Hotel","Venue",,"0",,,,,,"50"
"Hotel Yehuda","Venue",,"0",,,,,,"50"
"Holiday Inn Ashkelon Hotel","Venue",,"0",,,,,,"50"
"Arcadia Tower Hotel Tel Aviv","Venue",,"0",,,,,,"50"
"Leonardo Plaza Hotel Dead Sea","Venue",,"0",,,,,,"50"
"C Hotel","Venue",,"0",,,,,,"50"
"Hotel Prima Kings","Venue",,"0",,,,,,"50"
"Hotel Port Tel Aviv","Venue",,"0",,,,,,"50"
"Rivoli Hotel","Venue",,"0",,,,,,"50"
"Crowne Plaza Hotel Haifa","Venue",,"0",,,,,,"50"
"Hotel Marom Haifa","Venue",,"0",,,,,,"50"
"Tulip Inn Dead Sea Hotel","Venue",,"0",,,,,,"50"
"Ritz Hotel Jerusalem","Venue",,"0",,,,,,"50"
"Ami Hotel","Venue",,"0",,,,,,"50"
"Leonardo Plaza Hotel Eilat","Venue",,"0",,,,,,"50"
"Leonardo Privilege Hotel Dead Sea","Venue",,"0",,,,,,"50"
"Central Hotel","Venue",,"0",,,,,,"50"
"Arcadia Hotel","Venue",,"0",,,,,,"50"
"Jerusalem Gold Hotel","Venue",,"0",,,,,,"50"
"Cinema Hotel","Venue",,"0",,,,,,"50"
"Deborah Hotel","Venue",,"0",,,,,,"50"
"Lusky Hotel","Venue",,"0",,,,,,"50"
"Orchid Hotel & Resort","Venue",,"0",,,,,,"50"
"Orchid Hotel And Resort","Venue",,"0",,,,,,"50"
"Jerusalem Gardens Hotel & Spa","Venue",,"0",,,,,,"50"
"Villa Galilee Chateaux & Hotels Collection","Venue",,"0",,,,,,"50"
"Q Hotel Poleg Beach","Venue",,"0",,,,,,"50"
"Mamilla Hotel","Venue",,"0",,,,,,"50"
"Inbal Jerusalem Hotel","Venue",,"0",,,,,,"50"
